Energía Eléctrica (categoría),Subcategoría,Potencia Nominal (MW),Potencia Nominal (%),Potencia Efectiva (MW),Potencia Efectiva (%),Producción Total (GWh),Producción Total (%),Producción SNI (GWh),Producción SNI (%),Entregada a Servicio Público (GWh),Entregada a Servicio Público (%),Mes,Año
Renovable,Hidráulica,5098.75,0.5852,5064.16,0.6256,24010.39,0.7732,23989.85,0.8854,22768.4,0.8968,Febrero,2021
Renovable,Eólica,21.15,0.0024,21.15,0.0026,74.03,0.0024,68.83,0.0025,72.22,0.0028,Febrero,2021
Renovable,Fotovoltaica,27.63,0.0032,26.74,0.0033,37.98,0.0012,34.1,0.0013,37.41,0.0015,Febrero,2021
Renovable,Biomasa,144.3,0.0166,136.4,0.0168,413.47,0.0133,413.47,0.0153,176.05,0.0069,Febrero,2021
Renovable,Biogas,7.26,0.0008,6.5,0.0008,44.31,0.0014,44.31,0.0016,43.95,0.0017,Febrero,2021
No Renovable,Térmica MCI ,2029.74,0.233,1633.25,0.2018,4368.91,0.1407,722.53,0.0267,558.94,0.022,Febrero,2021
No Renovable,Térmica Turbogas ,921.85,0.1058,775.55,0.0958,970.12,0.0312,694.66,0.0256,673.24,0.0265,Febrero,2021
No Renovable,Térmica Turbovapor ,461.63,0.053,431.5,0.0533,880.51,0.0284,875.57,0.0323,805.83,0.0317,Febrero,2021
Interconexiones,Colombia,540,0.8308,525,0.8268,251.56,0.0081,251.56,0.0093,251.56,0.0099,Febrero,2021
Interconexiones,Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Febrero,2021
Renovable,Hidráulica,5098.75,0.5852,5064.16,0.6256,24427.13,0.7769,24406.7,0.8886,23126.92,0.9003,Marzo,2021
Renovable,Eólica,21.15,0.0024,21.15,0.0026,72.27,0.0023,67.17,0.0024,70.53,0.0027,Marzo,2021
Renovable,Fotovoltaica,27.63,0.0032,26.74,0.0033,38,0.0012,34.25,0.0012,37.38,0.0015,Marzo,2021
Renovable,Biomasa,144.3,0.0166,136.4,0.0168,414.12,0.0132,414.12,0.0151,176.05,0.0069,Marzo,2021
Renovable,Biogas,7.26,0.0008,6.5,0.0008,44.44,0.0014,44.44,0.0016,44.14,0.0017,Marzo,2021
No Renovable,Térmica MCI ,2029.74,0.233,1633.25,0.2018,4389.96,0.1396,728.61,0.0265,548.73,0.0214,Marzo,2021
No Renovable,Térmica Turbogas ,921.85,0.1058,775.55,0.0958,963.42,0.0306,687.48,0.025,666.01,0.0259,Marzo,2021
No Renovable,Térmica Turbovapor ,461.63,0.053,431.5,0.0533,840.21,0.0267,833.54,0.0303,766.98,0.0299,Marzo,2021
Interconexiones,Colombia,540,0.8308,525,0.8268,250.66,0.008,250.66,0.0091,250.66,0.0098,Marzo,2021
Interconexiones,Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Marzo,2021
Renovable,Hidráulica,5098.75,0.5851,5064.16,0.6255,24849.01,0.7757,24828.77,0.89,23506.39,0.9022,Abril,2021
Renovable,Eólica,21.15,0.0024,21.15,0.0026,71.6,0.0022,66.7,0.0024,69.93,0.0027,Abril,2021
Renovable,Fotovoltaica,27.63,0.0032,26.74,0.0033,38.01,0.0012,34.41,0.0012,37.38,0.0014,Abril,2021
Renovable,Biomasa,144.3,0.0166,136.4,0.0168,414.12,0.0129,414.12,0.0148,176.05,0.0068,Abril,2021
Renovable,Biogas,7.26,0.0008,6.5,0.0008,43.84,0.0014,43.84,0.0016,43.56,0.0017,Abril,2021
No Renovable,Térmica MCI ,2031.08,0.2331,1633.92,0.2018,4567.86,0.1426,760.26,0.0273,559.1,0.0215,Abril,2021
No Renovable,Térmica Turbogas ,921.85,0.1058,775.55,0.0958,959.03,0.0299,665.76,0.0239,644.7,0.0247,Abril,2021
No Renovable,Térmica Turbovapor ,461.63,0.053,431.5,0.0533,840.77,0.0262,831.85,0.0298,765.34,0.0294,Abril,2021
Interconexiones,Colombia,540,0.8308,525,0.8268,250.7,0.0078,250.7,0.009,250.7,0.0096,Abril,2021
Interconexiones,Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Abril,2021
Renovable,Hidráulica,5098.75,0.5844,5064.16,0.6253,24900.02,0.7724,24880.36,0.8895,23527.98,0.9024,Mayo,2021
Renovable,Eólica,21.15,0.0024,21.15,0.0026,70.6,0.0022,65.98,0.0024,68.99,0.0026,Mayo,2021
Renovable,Fotovoltaica,27.63,0.0032,26.74,0.0033,37.84,0.0012,34.32,0.0012,37.19,0.0014,Mayo,2021
Renovable,Biomasa,144.3,0.0165,136.4,0.0168,414.12,0.0128,414.12,0.0148,176.05,0.0068,Mayo,2021
Renovable,Biogas,7.26,0.0008,6.5,0.0008,44.53,0.0014,44.53,0.0016,44.23,0.0017,Mayo,2021
No Renovable,Térmica MCI ,2042.65,0.2341,1636.37,0.2021,4708.74,0.1461,783.18,0.028,561.13,0.0215,Mayo,2021
No Renovable,Térmica Turbogas ,921.85,0.1057,775.55,0.0958,951.08,0.0295,648.04,0.0232,627.18,0.0241,Mayo,2021
No Renovable,Térmica Turbovapor ,461.63,0.0529,431.5,0.0533,858.68,0.0266,847.85,0.0303,779.15,0.0299,Mayo,2021
Interconexiones,Colombia,540,0.8308,525,0.8268,251.8,0.0078,251.8,0.009,251.8,0.0097,Mayo,2021
Interconexiones,Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Mayo,2021
Renovable,Hidráulica,5098.75,0.5844,5064.16,0.6253,24842.03,0.7709,24822.45,0.889,23444.47,0.901,Junio,2021
Renovable,Eólica,21.15,0.0024,21.15,0.0026,68.27,0.0021,64.32,0.0023,66.73,0.0026,Junio,2021
Renovable,Fotovoltaica,27.63,0.0032,26.74,0.0033,37.6,0.0012,34.16,0.0012,36.93,0.0014,Junio,2021
Renovable,Biomasa,144.3,0.0165,136.4,0.0168,418.13,0.013,418.13,0.015,176.17,0.0068,Junio,2021
Renovable,Biogas,7.26,0.0008,6.5,0.0008,43.57,0.0014,43.57,0.0016,43.28,0.0017,Junio,2021
No Renovable,Térmica MCI ,2042.65,0.2341,1636.37,0.2021,4753.37,0.1475,793.05,0.0284,596.33,0.0229,Junio,2021
No Renovable,Térmica Turbogas ,921.85,0.1057,775.55,0.0958,946.45,0.0294,643.08,0.023,622.55,0.0239,Junio,2021
No Renovable,Térmica Turbovapor ,461.63,0.0529,431.5,0.0533,864.47,0.0268,851.18,0.0305,781.25,0.03,Junio,2021
Interconexiones,Colombia,540,0.8308,525,0.8268,251.93,0.0078,251.93,0.009,251.93,0.0097,Junio,2021
Interconexiones,Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Junio,2021
Renovable,Hidráulica,5098.75,0.5844,5064.16,0.6253,24813.51,0.7704,24794.01,0.8894,23391.85,0.9012,Julio,2021
Renovable,Eólica,21.15,0.0024,21.15,0.0026,70.32,0.0022,66.96,0.0024,68.78,0.0026,Julio,2021
Renovable,Fotovoltaica,27.63,0.0032,26.74,0.0033,36.54,0.0011,33.15,0.0012,37.17,0.0014,Julio,2021
Renovable,Biomasa,144.3,0.0165,136.4,0.0168,413.53,0.0128,413.53,0.0148,175.11,0.0067,Julio,2021
Renovable,Biogas,7.26,0.0008,6.5,0.0008,43.51,0.0014,43.51,0.0016,43.26,0.0017,Julio,2021
No Renovable,Térmica MCI ,2042.65,0.2341,1636.37,0.2021,4786.92,0.1486,799.48,0.0287,603.18,0.0232,Julio,2021
No Renovable,Térmica Turbogas ,921.85,0.1057,775.55,0.0958,944.71,0.0293,641.34,0.023,621.65,0.0239,Julio,2021
No Renovable,Térmica Turbovapor ,461.63,0.0529,431.5,0.0533,845.89,0.0263,829.97,0.0298,760.95,0.0293,Julio,2021
Interconexiones,Colombia,540,0.8308,525,0.8268,255.68,0.0079,255.68,0.0092,255.68,0.0098,Julio,2021
Interconexiones,Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Julio,2021
Renovable,Hidráulica,5098.75,0.5844,5064.16,0.6253,24875.13,0.7702,24855.98,0.8899,23431.01,0.9014,Agosto,2021
Renovable,Eólica,21.15,0.0024,21.15,0.0026,68.94,0.0021,66.14,0.0024,67.46,0.0026,Agosto,2021
Renovable,Fotovoltaica,27.63,0.0032,26.74,0.0033,37.45,0.0012,34.1,0.0012,36.73,0.0014,Agosto,2021
Renovable,Biomasa,144.3,0.0165,136.4,0.0168,403.66,0.0125,403.66,0.0145,167.85,0.0065,Agosto,2021
Renovable,Biogas,7.26,0.0008,6.5,0.0008,42.82,0.0013,42.82,0.0015,42.57,0.0016,Agosto,2021
No Renovable,Térmica MCI ,2042.65,0.2341,1636.37,0.2021,4806.97,0.1488,799.71,0.0286,606.83,0.0233,Agosto,2021
No Renovable,Térmica Turbogas ,921.85,0.1057,775.55,0.0958,948.94,0.0294,635.01,0.0227,615.71,0.0237,Agosto,2021
No Renovable,Térmica Turbovapor ,461.63,0.0529,431.5,0.0533,831.93,0.0258,813.45,0.0291,745.84,0.0287,Agosto,2021
Interconexiones,Colombia,540,0.8308,525,0.8268,279.66,0.0087,279.66,0.01,279.66,0.0108,Agosto,2021
Interconexiones,Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Agosto,2021
Renovable,Hidráulica,5098.75,0.5844,5064.16,0.6253,24773.78,0.7633,24754.49,0.8827,23314.71,0.8934,Septiembre,2021
Renovable,Eólica,21.15,0.0024,21.15,0.0026,68.84,0.0021,66.42,0.0024,67.4,0.0026,Septiembre,2021
Renovable,Fotovoltaica,27.63,0.0032,26.74,0.0033,37.48,0.0012,34.12,0.0012,36.74,0.0014,Septiembre,2021
Renovable,Biomasa,144.3,0.0165,136.4,0.0168,395.97,0.0122,395.97,0.0141,163.79,0.0063,Septiembre,2021
Renovable,Biogas,7.26,0.0008,6.5,0.0008,42.37,0.0013,42.37,0.0015,42.16,0.0016,Septiembre,2021
No Renovable,Térmica MCI ,2042.65,0.2341,1636.37,0.2021,4878.59,0.1503,843.14,0.0301,650.14,0.0249,Septiembre,2021
No Renovable,Térmica Turbogas ,921.85,0.1057,775.55,0.0958,962.92,0.0297,634.72,0.0226,615.3,0.0236,Septiembre,2021
No Renovable,Térmica Turbovapor ,461.63,0.0529,431.5,0.0533,834.69,0.0257,813.66,0.029,746.91,0.0286,Septiembre,2021
Interconexiones,Colombia,540,0.8308,525,0.8268,460.03,0.0142,460.03,0.0164,460.03,0.0176,Septiembre,2021
Interconexiones,Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Septiembre,2021
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,41.97,0.0013,41.97,0.0015,41.79,0.0016,Octubre,2021
Renovable, Eólica ,21.15,0.0024,21.15,0.0026,64.86,0.002,62.54,0.0022,63.53,0.0024,Octubre,2021
Renovable, Fotovoltaica ,27.65,0.0031,26.76,0.0033,37.23,0.0011,33.89,0.0012,36.48,0.0014,Octubre,2021
Renovable, Biomasa ,144.3,0.0164,136.4,0.0168,390.75,0.012,390.75,0.0139,159.64,0.0061,Octubre,2021
Renovable, Hidráulica ,5098.75,0.5806,5064.16,0.6224,24710.88,0.7577,24691.39,0.8768,23233.67,0.8871,Octubre,2021
No Renovable, Térmica Turbovapor ,461.63,0.0526,431.5,0.053,859.19,0.0263,835.49,0.0297,767.04,0.0293,Octubre,2021
No Renovable, Térmica Turbogas ,965.65,0.11,804.55,0.0989,981.33,0.0301,635.74,0.0226,616.35,0.0235,Octubre,2021
No Renovable, Térmica MCI ,2054.93,0.234,1644.26,0.2021,4937.17,0.1514,880.02,0.0313,683.08,0.0261,Octubre,2021
Interconexiones, Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Octubre,2021
Interconexiones, Colombia ,540,0.8308,525,0.8268,588.31,0.018,588.31,0.0209,588.31,0.0225,Octubre,2021
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,41.59,0.0013,41.59,0.0015,41.42,0.0016,Noviembre,2021
Renovable, Eólica ,21.15,0.0024,21.15,0.0026,62.69,0.0019,60.5,0.0021,61.44,0.0023,Noviembre,2021
Renovable, Fotovoltaica ,27.65,0.0031,26.76,0.0033,36.89,0.0011,33.51,0.0012,36.08,0.0014,Noviembre,2021
Renovable, Biomasa ,144.3,0.0164,136.4,0.0168,382.85,0.0118,382.85,0.0135,153.21,0.0058,Noviembre,2021
Renovable, Hidráulica ,5098.75,0.5806,5064.16,0.6224,25265.05,0.7777,25245.62,0.8917,23757.75,0.9028,Noviembre,2021
No Renovable, Térmica Turbovapor ,461.63,0.0526,431.5,0.053,855.14,0.0263,828.67,0.0293,759.65,0.0289,Noviembre,2021
No Renovable, Térmica Turbogas ,965.65,0.11,804.55,0.0989,939.23,0.0289,611.79,0.0216,592.87,0.0225,Noviembre,2021
No Renovable, Térmica MCI ,2054.93,0.234,1644.26,0.2021,4509.31,0.1388,710.78,0.0251,517.55,0.0197,Noviembre,2021
Interconexiones, Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Noviembre,2021
Interconexiones, Colombia ,540,0.8308,525,0.8268,396.15,0.0122,396.15,0.014,396.15,0.0151,Noviembre,2021
Renovable, Biogas ,8.32,0.001,7.2,0.0009,42.13,0.0013,42.13,0.0015,41.94,0.0016,Diciembre,2021
Renovable, Eólica ,21.15,0.0024,21.15,0.0026,62.01,0.0019,60.06,0.0021,60.83,0.0023,Diciembre,2021
Renovable, Fotovoltaica ,27.65,0.0032,26.76,0.0033,36.87,0.0011,33.44,0.0012,36.02,0.0014,Diciembre,2021
Renovable, Biomasa ,144.3,0.0165,136.4,0.0168,372.8,0.0115,372.8,0.0131,146.84,0.0055,Diciembre,2021
Renovable, Hidráulica ,5106.85,0.5847,5072.26,0.6262,25562.65,0.7851,25543.57,0.8955,24046.13,0.9065,Diciembre,2021
No Renovable, Térmica Turbovapor ,461.63,0.0529,431.5,0.0533,871.07,0.0268,843.06,0.0296,773.56,0.0292,Diciembre,2021
No Renovable, Térmica Turbogas ,943.85,0.1081,790.55,0.0976,911.82,0.028,594.53,0.0208,575.94,0.0217,Diciembre,2021
No Renovable, Térmica MCI ,2020.67,0.2313,1614.85,0.1993,4335.56,0.1332,671.95,0.0236,480.23,0.0181,Diciembre,2021
Interconexiones, Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Diciembre,2021
Interconexiones, Colombia ,540,0.8308,525,0.8268,363.8,0.0112,363.8,0.0128,363.8,0.0137,Diciembre,2021
Renovable, Biogas ,8.32,0.001,7.2,0.0009,41.3,0.0013,41.3,0.0014,41.12,0.0015,Enero,2022
Renovable, Eólica ,21.15,0.0024,21.15,0.0026,60.65,0.0019,58.87,0.0021,59.54,0.0022,Enero,2022
Renovable, Fotovoltaica ,27.65,0.0032,26.76,0.0033,36.84,0.0011,33.41,0.0012,35.96,0.0014,Enero,2022
Renovable, Biomasa ,144.3,0.0165,136.4,0.0168,378.89,0.0116,378.89,0.0132,147.42,0.0055,Enero,2022
Renovable, Hidráulica ,5106.85,0.5847,5072.26,0.6262,25458.78,0.7791,25440.19,0.8877,23929.78,0.8986,Enero,2022
No Renovable, Térmica Turbovapor ,461.63,0.0529,431.5,0.0533,937.73,0.0287,911.64,0.0318,839.82,0.0315,Enero,2022
No Renovable, Térmica Turbogas ,943.85,0.1081,790.55,0.0976,903.02,0.0276,584.98,0.0204,566.07,0.0213,Enero,2022
No Renovable, Térmica MCI ,2020.67,0.2313,1614.85,0.1993,4485.27,0.1373,833.97,0.0291,634.91,0.0238,Enero,2022
Interconexiones, Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Enero,2022
Interconexiones, Colombia ,540,0.8308,525,0.8268,375.4,0.0115,375.4,0.0131,375.4,0.0141,Enero,2022
Renovable, Biogas ,8.32,0.001,7.2,0.0009,40.52,0.0012,40.52,0.0014,40.36,0.0015,Febrero,2022
Renovable, Eólica ,21.15,0.0024,21.15,0.0026,59.04,0.0018,57.33,0.002,57.98,0.0022,Febrero,2022
Renovable, Fotovoltaica ,28.65,0.0033,27.76,0.0034,36.91,0.0011,33.32,0.0012,36.01,0.0013,Febrero,2022
Renovable, Biomasa ,144.3,0.0165,136.4,0.0168,378.89,0.0116,378.89,0.0132,147.42,0.0055,Febrero,2022
Renovable, Hidráulica ,5106.85,0.5845,5072.26,0.626,25271.9,0.7721,25254.51,0.8794,23750.71,0.89,Febrero,2022
No Renovable, Térmica Turbovapor ,461.63,0.0528,431.5,0.0533,1046.75,0.032,1022.84,0.0356,944.46,0.0354,Febrero,2022
No Renovable, Térmica Turbogas ,943.85,0.108,790.55,0.0976,904.71,0.0276,582.87,0.0203,563.94,0.0211,Febrero,2022
No Renovable, Térmica MCI ,2021.86,0.2314,1616.04,0.1994,4609.28,0.1408,963.24,0.0335,761.51,0.0285,Febrero,2022
Interconexiones, Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Febrero,2022
Interconexiones, Colombia ,540,0.8308,525,0.8268,383.09,0.0117,383.09,0.0133,383.09,0.0144,Febrero,2022
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,40,0.0012,40,0.0014,39.82,0.0015,Marzo,2022
Renovable, Eólica ,21.15,0.0024,21.15,0.0026,58.33,0.0018,56.64,0.002,57.3,0.0021,Marzo,2022
Renovable, Fotovoltaica ,28.65,0.0033,27.76,0.0034,36.92,0.0011,33.23,0.0012,36.01,0.0013,Marzo,2022
Renovable, Biomasa ,144.3,0.0164,136.4,0.0167,378.89,0.0116,378.89,0.0132,147.42,0.0055,Marzo,2022
Renovable, Hidráulica ,5155.3,0.5868,5120.71,0.6281,25181.91,0.769,25165.67,0.8759,23652.14,0.8865,Marzo,2022
No Renovable, Térmica Turbovapor ,461.63,0.0525,431.5,0.0529,1151.09,0.0352,1129.67,0.0393,1041.8,0.039,Marzo,2022
No Renovable, Térmica Turbogas ,943.85,0.1074,790.55,0.097,903.58,0.0276,577.92,0.0201,559.11,0.021,Marzo,2022
No Renovable, Térmica MCI ,2022.91,0.2302,1616.89,0.1983,4612.88,0.1409,965.87,0.0336,764.23,0.0286,Marzo,2022
Interconexiones, Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Marzo,2022
Interconexiones, Colombia ,540,0.8308,525,0.8268,383.51,0.0117,383.51,0.0133,383.51,0.0144,Marzo,2022
Renovable, Biogas ,8.32,0.0009,7.2,0.0009,39.58,0.0012,39.58,0.0014,39.42,0.0015,Abril,2022
Renovable, Eólica ,21.15,0.0024,21.15,0.0026,58.1,0.0018,56.3,0.002,57.06,0.0021,Abril,2022
Renovable, Fotovoltaica ,28.65,0.0033,27.76,0.0034,37.02,0.0011,33.12,0.0012,36.1,0.0014,Abril,2022
Renovable, Biomasa ,144.3,0.0164,136.4,0.0167,378.89,0.0116,378.89,0.0132,147.42,0.0055,Abril,2022
Renovable, Hidráulica ,5155.3,0.5868,5120.71,0.6281,25073.37,0.7651,25057.97,0.8717,23528.79,0.8821,Abril,2022
No Renovable, Térmica Turbovapor ,461.63,0.0525,431.5,0.0529,1264.14,0.0386,1244.96,0.0433,1146.88,0.043,Abril,2022
No Renovable, Térmica Turbogas ,943.85,0.1074,790.55,0.097,906.57,0.0277,580.92,0.0202,561.93,0.0211,Abril,2022
